Gazepoint Analysis,v6.0.0
Processed on,Mon Feb 17 16:11:48 2020

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View (sec), Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), 
0, NewMedia0, U, 4, Map4, 0.000, U, 26, user27, M, 0, 9.844, 32.438, 3.295, 162.000, 100, 
0, NewMedia0, U, 4, Map4, 0.000, U, 27, user28, M, 0, 13.531, 34.750, 3.529, 144.000, 77, 
0, NewMedia0, U, 4, Map4, 0.000, U, 28, user29, M, 0, 1.031, 51.313, 5.212, 186.000, 97, 
0, NewMedia0, U, 4, Map4, 0.000, U, 29, user30, M, 0, 24.250, 26.266, 2.668, 85.000, 53, 
0, NewMedia0, U, 4, Map4, 0.000, U, 30, user31, M, 0, 0.906, 39.500, 4.012, 152.000, 111, 
0, NewMedia0, U, 4, Map4, 0.000, U, 31, user32, M, 0, 19.375, 37.219, 3.780, 102.000, 67, 
0, NewMedia0, U, 4, Map4, 0.000, U, 33, user33, M, 0, 42.406, 19.250, 1.955, 70.000, 41, 
0, NewMedia0, U, 4, Map4, 0.000, U, 34, uesr34, M, 0, 74.250, 32.125, 3.263, 96.000, 42, 
0, NewMedia0, U, 4, Map4, 0.000, U, 35, user35, M, 0, 0.000, 21.347, 2.168, 46.000, 24, 
0, NewMedia0, U, 4, Map4, 0.000, U, 36, user36, M, 0, 26.631, 20.274, 2.059, 91.000, 70, 
0, NewMedia0, U, 4, Map4, 0.000, U, 37, user37, M, 0, 105.963, 14.751, 1.498, 38.000, 15, 
0, NewMedia0, U, 4, Map4, 0.000, U, 38, user38, M, 0, 3.992, 55.219, 5.608, 194.000, 95, 
0, NewMedia0, U, 4, Map4, 0.000, U, 39, user39, M, 0, 18.914, 96.500, 9.801, 338.000, 163, 
0, NewMedia0, U, 5, Histogram, 0.000, U, 0, user1, M, 0, 23.806, 43.752, 4.444, 112.000, 64, 
0, NewMedia0, U, 5, Histogram, 0.000, U, 1, user2, M, 0, 23.608, 31.635, 3.213, 119.000, 67, 
0, NewMedia0, U, 5, Histogram, 0.000, U, 2, user3, M, 0, 20.471, 94.824, 9.631, 235.000, 46, 
0, NewMedia0, U, 5, Histogram, 0.000, U, 3, user4, M, 0, 1.447, 50.945, 5.174, 176.000, 93, 
0, NewMedia0, U, 5, Histogram, 0.000, U, 4, user5, M, 0, 339.878, 0.312, 0.032, 2.000, 0, 
